 ,Frame,Time_s,X_px,Y_px,X_mm,Y_mm,Area_px,Detected,Arena_center_X_px,Arena_center_Y_px,Arena_center_X_mm,Arena_center_Y_mm,Arena_radius_px,Arena_radius_mm
1,1,0.033,633.948,517.301,59.806,48.802,296,1,584.500,494,55.142,46.604,474.250,44.741
2,2,0.067,633.859,517.075,59.798,48.781,299,1,584.500,494,55.142,46.604,474.250,44.741
3,3,0.100,633.648,516.650,59.778,48.741,279,1,584.500,494,55.142,46.604,474.250,44.741
4,4,0.133,633.455,516.855,59.760,48.760,296,1,584.500,494,55.142,46.604,474.250,44.741
5,5,0.167,634.093,516.989,59.820,48.773,333,1,584.500,494,55.142,46.604,474.250,44.741
6,6,0.200,634.176,516.859,59.828,48.760,326,1,584.500,494,55.142,46.604,474.250,44.741
7,7,0.233,634.188,516.870,59.829,48.761,323,1,584.500,494,55.142,46.604,474.250,44.741
8,8,0.267,634.094,516.892,59.820,48.763,322,1,584.500,494,55.142,46.604,474.250,44.741
9,9,0.300,634.266,516.881,59.836,48.762,329,1,584.500,494,55.142,46.604,474.250,44.741
10,10,0.333,633.927,516.898,59.804,48.764,335,1,584.500,494,55.142,46.604,474.250,44.741
11,11,0.367,634.080,516.776,59.819,48.752,339,1,584.500,494,55.142,46.604,474.250,44.741
12,12,0.400,634.178,516.758,59.828,48.751,334,1,584.500,494,55.142,46.604,474.250,44.741
13,13,0.433,634.173,516.757,59.828,48.751,334,1,584.500,494,55.142,46.604,474.250,44.741
14,14,0.467,633.929,516.806,59.805,48.755,340,1,584.500,494,55.142,46.604,474.250,44.741
15,15,0.500,634.043,516.746,59.815,48.750,333,1,584.500,494,55.142,46.604,474.250,44.741
16,16,0.533,634.044,516.746,59.815,48.750,333,1,584.500,494,55.142,46.604,474.250,44.741
17,17,0.567,633.920,516.801,59.804,48.755,341,1,584.500,494,55.142,46.604,474.250,44.741
18,18,0.600,634.031,516.767,59.814,48.752,337,1,584.500,494,55.142,46.604,474.250,44.741
19,19,0.633,633.962,516.707,59.808,48.746,335,1,584.500,494,55.142,46.604,474.250,44.741
20,20,0.667,633.869,516.789,59.799,48.754,343,1,584.500,494,55.142,46.604,474.250,44.741
21,21,0.700,633.970,516.732,59.809,48.748,338,1,584.500,494,55.142,46.604,474.250,44.741
22,22,0.733,634.183,516.714,59.829,48.747,336,1,584.500,494,55.142,46.604,474.250,44.741
23,23,0.767,634.188,516.724,59.829,48.748,335,1,584.500,494,55.142,46.604,474.250,44.741
24,24,0.800,634.088,516.753,59.820,48.750,333,1,584.500,494,55.142,46.604,474.250,44.741
25,25,0.833,633.864,516.812,59.799,48.756,339,1,584.500,494,55.142,46.604,474.250,44.741
26,26,0.867,633.815,516.775,59.794,48.752,351,1,584.500,494,55.142,46.604,474.250,44.741
27,27,0.900,633.786,516.758,59.791,48.751,343,1,584.500,494,55.142,46.604,474.250,44.741
28,28,0.933,633.709,516.754,59.784,48.750,343,1,584.500,494,55.142,46.604,474.250,44.741
29,29,0.967,633.729,516.801,59.786,48.755,347,1,584.500,494,55.142,46.604,474.250,44.741
30,30,1.000,633.611,516.763,59.775,48.751,342,1,584.500,494,55.142,46.604,474.250,44.741
31,31,1.033,633.670,516.767,59.780,48.752,341,1,584.500,494,55.142,46.604,474.250,44.741
32,32,1.067,633.929,516.796,59.805,48.754,351,1,584.500,494,55.142,46.604,474.250,44.741
33,33,1.100,633.938,516.787,59.805,48.753,346,1,584.500,494,55.142,46.604,474.250,44.741
34,34,1.133,633.922,516.741,59.804,48.749,346,1,584.500,494,55.142,46.604,474.250,44.741
35,35,1.167,633.929,516.845,59.805,48.759,350,1,584.500,494,55.142,46.604,474.250,44.741
36,36,1.200,633.914,516.807,59.803,48.755,348,1,584.500,494,55.142,46.604,474.250,44.741
37,37,1.233,633.922,516.802,59.804,48.755,349,1,584.500,494,55.142,46.604,474.250,44.741
38,38,1.267,633.845,516.780,59.797,48.753,352,1,584.500,494,55.142,46.604,474.250,44.741
39,39,1.300,633.937,516.798,59.805,48.755,349,1,584.500,494,55.142,46.604,474.250,44.741
40,40,1.333,633.803,516.829,59.793,48.757,343,1,584.500,494,55.142,46.604,474.250,44.741
41,41,1.367,633.929,516.822,59.805,48.757,347,1,584.500,494,55.142,46.604,474.250,44.741
42,42,1.400,633.745,516.807,59.787,48.755,341,1,584.500,494,55.142,46.604,474.250,44.741
43,43,1.433,633.726,516.803,59.786,48.755,343,1,584.500,494,55.142,46.604,474.250,44.741
44,44,1.467,633.797,516.793,59.792,48.754,346,1,584.500,494,55.142,46.604,474.250,44.741
45,45,1.500,633.778,516.779,59.790,48.753,347,1,584.500,494,55.142,46.604,474.250,44.741
46,46,1.533,633.689,516.778,59.782,48.753,345,1,584.500,494,55.142,46.604,474.250,44.741
47,47,1.567,633.828,516.773,59.795,48.752,348,1,584.500,494,55.142,46.604,474.250,44.741
48,48,1.600,633.650,516.751,59.778,48.750,342,1,584.500,494,55.142,46.604,474.250,44.741
49,49,1.633,633.647,516.743,59.778,48.749,342,1,584.500,494,55.142,46.604,474.250,44.741
50,50,1.667,633.865,516.776,59.799,48.752,349,1,584.500,494,55.142,46.604,474.250,44.741
51,51,1.700,633.690,516.785,59.782,48.753,344,1,584.500,494,55.142,46.604,474.250,44.741
52,52,1.733,633.672,516.769,59.780,48.752,345,1,584.500,494,55.142,46.604,474.250,44.741
53,53,1.767,633.761,516.756,59.789,48.751,347,1,584.500,494,55.142,46.604,474.250,44.741
54,54,1.800,633.693,516.729,59.782,48.748,344,1,584.500,494,55.142,46.604,474.250,44.741
55,55,1.833,633.709,516.720,59.784,48.747,344,1,584.500,494,55.142,46.604,474.250,44.741
56,56,1.867,633.663,516.754,59.780,48.750,352,1,584.500,494,55.142,46.604,474.250,44.741
57,57,1.900,633.655,516.760,59.779,48.751,346,1,584.500,494,55.142,46.604,474.250,44.741
58,58,1.933,633.663,516.751,59.780,48.750,346,1,584.500,494,55.142,46.604,474.250,44.741
59,59,1.967,633.788,516.751,59.791,48.750,350,1,584.500,494,55.142,46.604,474.250,44.741
60,60,2.000,633.792,516.739,59.792,48.749,348,1,584.500,494,55.142,46.604,474.250,44.741
61,61,2.033,634.202,516.848,59.830,48.759,347,1,584.500,494,55.142,46.604,474.250,44.741
62,62,2.067,634.090,516.849,59.820,48.759,352,1,584.500,494,55.142,46.604,474.250,44.741
63,63,2.100,634.058,516.847,59.817,48.759,349,1,584.500,494,55.142,46.604,474.250,44.741
64,64,2.133,634.067,516.854,59.818,48.760,349,1,584.500,494,55.142,46.604,474.250,44.741
65,65,2.167,634.067,516.854,59.818,48.760,349,1,584.500,494,55.142,46.604,474.250,44.741
66,66,2.200,633.978,516.855,59.809,48.760,347,1,584.500,494,55.142,46.604,474.250,44.741
67,67,2.233,634.136,516.821,59.824,48.757,349,1,584.500,494,55.142,46.604,474.250,44.741
